NTD ID,Legacy NTD ID,Agency,Mode,TOS,3 Mode,Status,Reporter Type,Organization Type,HQ City,HQ State,UACE CD,UZA Name,UZA SQ Miles, UZA Population , Service Area Population , Service Area SQ Miles ,Most Recent Report Year,FY End Month,FY End Year,Passenger Miles FY,Unlinked Passenger Trips FY,Avg Trip Length FY,Fares FY,Operating Expenses FY,Avg Cost Per Trip FY,Avg Fares Per Trip FY
00001,0001,King County Department of Metro Transit,DR,PT,Bus,Active,Full Reporter,"City, County or Local Government Unit or Department of Transportation",SEATTLE,WA,80389,"Seattle--Tacoma, WA",982.52," 3,544,011 "," 2,317,700 "," 2,134 ",2022,12,2022,"5,546,871 ","555,210 ",10 ,"$740,726.00 ","$54,748,982.00 ",$98.61 ,$1.33 
00001,0001,King County Department of Metro Transit,DR,TN,Bus,Active,Full Reporter,"City, County or Local Government Unit or Department of Transportation",SEATTLE,WA,80389,"Seattle--Tacoma, WA",982.52," 3,544,011 "," 2,317,700 "," 2,134 ",2022,12,2022,0 ,0 ,0 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
00001,0001,King County Department of Metro Transit,DR,TX,Bus,Active,Full Reporter,"City, County or Local Government Unit or Department of Transportation",SEATTLE,WA,80389,"Seattle--Tacoma, WA",982.52," 3,544,011 "," 2,317,700 "," 2,134 ",2022,12,2022,"1,612,286 ","110,794 ",15 ,"$91,601.00 ","$5,791,694.00 ",$52.27 ,$0.83 
00001,0001,King County Department of Metro Transit,FB,DO,Ferry,Active,Full Reporter,"City, County or Local Government Unit or Department of Transportation",SEATTLE,WA,80389,"Seattle--Tacoma, WA",982.52," 3,544,011 "," 2,317,700 "," 2,134 ",2022,12,2022,"1,361,870 ","400,407 ",3 ,"$1,715,265.00 ","$8,899,659.00 ",$22.23 ,$4.28 
00001,0001,King County Department of Metro Transit,LR,DO,Rail,Active,Full Reporter,"City, County or Local Government Unit or Department of Transportation",SEATTLE,WA,80389,"Seattle--Tacoma, WA",982.52," 3,544,011 "," 2,317,700 "," 2,134 ",2022,12,2022,0 ,0 ,0 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
00001,0001,King County Department of Metro Transit,MB,DO,Bus,Active,Full Reporter,"City, County or Local Government Unit or Department of Transportation",SEATTLE,WA,80389,"Seattle--Tacoma, WA",982.52," 3,544,011 "," 2,317,700 "," 2,134 ",2022,12,2022,"211,617,698 ","53,503,564 ",4 ,"$56,566,150.00 ","$654,161,434.00 ",$12.23 ,$1.06 
00001,0001,King County Department of Metro Transit,MB,PT,Bus,Active,Full Reporter,"City, County or Local Government Unit or Department of Transportation",SEATTLE,WA,80389,"Seattle--Tacoma, WA",982.52," 3,544,011 "," 2,317,700 "," 2,134 ",2022,12,2022,"1,841,319 ","480,077 ",4 ,"$280,187.00 ","$17,491,566.00 ",$36.43 ,$0.58 
00001,0001,King County Department of Metro Transit,SR,DO,Rail,Active,Full Reporter,"City, County or Local Government Unit or Department of Transportation",SEATTLE,WA,80389,"Seattle--Tacoma, WA",982.52," 3,544,011 "," 2,317,700 "," 2,134 ",2022,12,2022,"1,269,696 ","1,117,605 ",1 ,"$588,495.00 ","$12,511,637.00 ",$11.20 ,$0.53 
00001,0001,King County Department of Metro Transit,TB,DO,Bus,Active,Full Reporter,"City, County or Local Government Unit or Department of Transportation",SEATTLE,WA,80389,"Seattle--Tacoma, WA",982.52," 3,544,011 "," 2,317,700 "," 2,134 ",2022,12,2022,"17,545,751 ","9,575,042 ",2 ,"$10,123,486.00 ","$84,198,937.00 ",$8.79 ,$1.06 
00001,0001,King County Department of Metro Transit,VP,DO,Bus,Active,Full Reporter,"City, County or Local Government Unit or Department of Transportation",SEATTLE,WA,80389,"Seattle--Tacoma, WA",982.52," 3,544,011 "," 2,317,700 "," 2,134 ",2022,12,2022,"14,389,243 ","702,709 ",20 ,"$5,484,481.00 ","$8,908,529.00 ",$12.68 ,$7.80 
00002,0002,Spokane Transit Authority,DR,DO,Bus,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,SPOKANE,WA,83764,"Spokane, WA",171.67," 447,279 "," 467,839 ", 248 ,2022,12,2022,"1,335,191 ","167,404 ",8 ,"$457,699.00 ","$11,906,619.00 ",$71.13 ,$2.73 
00002,0002,Spokane Transit Authority,DR,PT,Bus,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,SPOKANE,WA,83764,"Spokane, WA",171.67," 447,279 "," 467,839 ", 248 ,2022,12,2022,"1,214,452 ","142,612 ",9 ,"$73,585.00 ","$6,043,883.00 ",$42.38 ,$0.52 
00002,0002,Spokane Transit Authority,MB,DO,Bus,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,SPOKANE,WA,83764,"Spokane, WA",171.67," 447,279 "," 467,839 ", 248 ,2022,12,2022,"28,155,245 ","6,595,319 ",4 ,"$6,135,110.00 ","$75,287,455.00 ",$11.42 ,$0.93 
00002,0002,Spokane Transit Authority,VP,DO,Bus,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,SPOKANE,WA,83764,"Spokane, WA",171.67," 447,279 "," 467,839 ", 248 ,2022,12,2022,"2,683,580 ","90,576 ",30 ,"$247,718.00 ","$743,903.00 ",$8.21 ,$2.73 
00003,0003,Pierce County Transportation Benefit Area Authority,DR,DO,Bus,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,LAKEWOOD,WA,80389,"Seattle--Tacoma, WA",982.52," 3,544,011 "," 575,963 ", 292 ,2022,12,2022,"277,604 ","37,778 ",7 ,"$53,359.00 ","$3,909,778.00 ",$103.49 ,$1.41 
00003,0003,Pierce County Transportation Benefit Area Authority,DR,PT,Bus,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,LAKEWOOD,WA,80389,"Seattle--Tacoma, WA",982.52," 3,544,011 "," 575,963 ", 292 ,2022,12,2022,"1,366,194 ","177,331 ",8 ,"$210,454.00 ","$12,785,260.00 ",$72.10 ,$1.19 
00003,0003,Pierce County Transportation Benefit Area Authority,MB,DO,Bus,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,LAKEWOOD,WA,80389,"Seattle--Tacoma, WA",982.52," 3,544,011 "," 575,963 ", 292 ,2022,12,2022,"20,994,349 ","4,950,296 ",4 ,"$4,356,831.00 ","$72,057,557.00 ",$14.56 ,$0.88 
00003,0003,Pierce County Transportation Benefit Area Authority,VP,DO,Bus,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,LAKEWOOD,WA,80389,"Seattle--Tacoma, WA",982.52," 3,544,011 "," 575,963 ", 292 ,2022,12,2022,"11,193,468 ","382,751 ",29 ,"$1,535,720.00 ","$4,318,946.00 ",$11.28 ,$4.01 
00005,0005,City of Everett,DR,DO,Bus,Active,Full Reporter,"City, County or Local Government Unit or Department of Transportation",EVERETT,WA,80389,"Seattle--Tacoma, WA",982.52," 3,544,011 "," 110,629 ", 34 ,2022,12,2022,"326,632 ","64,329 ",5 ,"$112,410.00 ","$5,905,942.00 ",$91.81 ,$1.75 
00005,0005,City of Everett,MB,DO,Bus,Active,Full Reporter,"City, County or Local Government Unit or Department of Transportation",EVERETT,WA,80389,"Seattle--Tacoma, WA",982.52," 3,544,011 "," 110,629 ", 34 ,2022,12,2022,"3,815,254 ","1,007,952 ",4 ,"$697,819.00 ","$17,851,707.00 ",$17.71 ,$0.69 
00006,0006,City of Yakima,CB,PT,Bus,Active,Full Reporter,"City, County or Local Government Unit or Department of Transportation",YAKIMA,WA,97507,"Yakima, WA",55.77," 133,145 "," 100,715 ", 33 ,2022,12,2022,"606,482 ","18,375 ",33 ,"$193,082.00 ","$520,302.00 ",$28.32 ,$10.51 
00006,0006,City of Yakima,DR,PT,Bus,Active,Full Reporter,"City, County or Local Government Unit or Department of Transportation",YAKIMA,WA,97507,"Yakima, WA",55.77," 133,145 "," 100,715 ", 33 ,2022,12,2022,"142,112 ","40,196 ",4 ,"$70,560.00 ","$2,074,856.00 ",$51.62 ,$1.76 
00006,0006,City of Yakima,MB,DO,Bus,Active,Full Reporter,"City, County or Local Government Unit or Department of Transportation",YAKIMA,WA,97507,"Yakima, WA",55.77," 133,145 "," 100,715 ", 33 ,2022,12,2022,"1,910,826 ","454,913 ",4 ,"$307,625.00 ","$7,530,794.00 ",$16.55 ,$0.68 
00006,0006,City of Yakima,VP,DO,Bus,Active,Full Reporter,"City, County or Local Government Unit or Department of Transportation",YAKIMA,WA,97507,"Yakima, WA",55.77," 133,145 "," 100,715 ", 33 ,2022,12,2022,0 ,0 ,0 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
00007,0007,Lane Transit District,DR,PT,Bus,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,EUGENE,OR,28117,"Eugene, OR",73.49," 270,179 "," 317,600 ", 482 ,2022,6,2022,"506,384 ","75,978 ",7 ,"$251,445.00 ","$3,633,406.00 ",$47.82 ,$3.31 
00007,0007,Lane Transit District,DR,TX,Bus,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,EUGENE,OR,28117,"Eugene, OR",73.49," 270,179 "," 317,600 ", 482 ,2022,6,2022,"2,356,332 ","227,823 ",10 ,"$10,473,360.00 ","$5,669,061.00 ",$24.88 ,$45.97 
